reviewer_name,Review Title,Place of Review,Up Votes,Down Votes,Month,review_text,rating,Review_Title,Place_of_Review,Date_of_Review,Up_Votes,Down_Votes,review_title,place_of_review,Date_of_review,up_votes,Down_votes,sentiment,cleaned_review
Sadashivu Shetty,Terrific purchase,"Certified Buyer, Mangalore",146.0,52.0,Sep 2016,Best in class....READ MORE,5.0,,,,,,,,,,,1,best class
Abhishek m,Worth every penny,"Certified Buyer, Chengannur",142.0,53.0,Jun 2018,it's genuine and price is less than our near by shopREAD MORE,5.0,,,,,,,,,,,1,genuine price less near shop
Hashim A,Did not meet expectations,"Certified Buyer, Panoor",22.0,5.0,Mar 2021,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1.0,,,,,,,,,,,0,second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gonna return product
Karan Dattani,Worth every penny,"Certified Buyer, Mumbai",23.0,6.0,Mar 2019,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5.0,,,,,,,,,,,1,really satisfied quality prompt deliveryhappy customer flipkart
Divya Mohan,Brilliant,"Certified Buyer, Darbhanga",71.0,29.0,Oct 2016,NycREAD MORE,5.0,,,,,,,,,,,1,nyc
Harish R,I think it is duplicate,"Certified Buyer, Bangalore",81.0,35.0,Feb 2018,I usually buy them the same model but this did not last even for a dayREAD MORE,1.0,,,,,,,,,,,0,usually buy model last even day
D.SELVARAJ,Slightly disappointed,"Certified Buyer, Tirupur",5.0,0.0,May 2021,"Poor quality, not originalREAD MORE",2.0,,,,,,,,,,,0,poor quality original
Priyadarsshan D,Super!,"Certified Buyer, Chennai",12.0,1.0,Aug 2020,Delivered on expected timeREAD MORE,5.0,,,,,,,,,,,1,delivered expected time
AMITPRATAP SINGH,Awesome,"Certified Buyer, Mangaluru",14.0,3.0,Feb 2019,nice and original productREAD MORE,5.0,,,,,,,,,,,1,nice original product
ramesh arjunan,Awesome,"Certified Buyer, Salem",30.0,10.0,Jun 2018,Very nice and Good price compare then local sports.READ MORE,5.0,,,,,,,,,,,1,nice good price compare local sport
Rohit Pillai,Highly recommended,"Certified Buyer, Kalyan",11.0,1.0,Mar 2021,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5.0,,,,,,,,,,,1,perfect go yonex never disappoint pro feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems go fine issue intermediate player using one shuttle since day con slightly higher range use lb bg racquet p
Sanju Mca,Nice product,"Certified Buyer, Viskhapatnam",5.0,0.0,May 2020,superbREAD MORE,4.0,,,,,,,,,,,1,superb
Rohit Garg,Unsatisfactory,"Certified Buyer, Bangalore",4.0,0.0,Jul 2018,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1.0,,,,,,,,,,,0,looked like defective without balance throw
Shivendra Singh,Nice product,"Certified Buyer, Ghaziabad",13.0,3.0,May 2018,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4.0,,,,,,,,,,,1,genuine product reasonable pricegot r
Sathish Kumar Kannan,Fabulous!,"Certified Buyer, Bengaluru",19.0,8.0,Oct 2018,Good sealed Original Yonex ShuttlesREAD MORE,5.0,,,,,,,,,,,1,good sealed original yonex shuttle
N R S Customer,Not good,"Certified Buyer, Ambala",3.0,0.0,Apr 2021,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2.0,,,,,,,,,,,0,expectedthe head portion break soondefective piece
Sidhartha Biswal,Good choice,"Certified Buyer, Visakhapatnam",4.0,0.0,Feb 2021,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4.0,,,,,,,,,,,1,giving star price hike please anyone suggest shuttle cork performance lower price
Flipkart Customer,Great product,"Certified Buyer, Attingal",6.0,0.0,Nov 2020,quality is pooverREAD MORE,5.0,,,,,,,,,,,1,quality poover
D Maruthi Vidya sagar,Best in the market!,"Certified Buyer, Mahbubnagar",14.0,5.0,Jun 2018,good productREAD MORE,5.0,,,,,,,,,,,1,good product
Abubakkarsiddiq  Siddiq,Super!,"Certified Buyer, Chitradurga District",9.0,3.0,Jul 2018,Good product.....READ MORE,5.0,,,,,,,,,,,1,good product
arovi chawngthu,Very Good,"Certified Buyer, Aizawl",216.0,219.0,Mar 2020,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4.0,,,,,,,,,,,1,received good conditionam really satisfied productbut satisfied delivery boy always coin returnit mean paying extra money item also know opportunity never coin returni really dont like kind selfishness
Pankaj Srivastava,Slightly disappointed,"Certified Buyer, New Delhi",2.0,0.0,,"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2.0,,,,,,,,,,,0,using found shuttle quality upto level box quality sticker
rajath,Did not meet expectations,"Certified Buyer, Mysore",2.0,0.0,,Local productREAD MORE,1.0,,,,,,,,,,,0,local product
vijay chaudhari,Not good,"Certified Buyer, Pimpri Chinchwad",2.0,0.0,,Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2.0,,,,,,,,,,,0,shuttle separated base single shot poor quality
prakashdass prakashdass,Not good,"Certified Buyer, Chengalpattu",2.0,0.0,Jan 2022,shuttle is over rotatingREAD MORE,2.0,,,,,,,,,,,0,shuttle rotating
ABHISHEK RAWAL,Absolute rubbish!,"Certified Buyer, Mancherial",3.0,0.0,Mar 2021,Very bad quality.READ MORE,1.0,,,,,,,,,,,0,bad quality
Prabhu Nandha ,Worst experience ever!,"Certified Buyer, Mecheri",2.0,0.0,Feb 2021,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1.0,,,,,,,,,,,0,worst quality shot ball started rotate
ARUNKUMAR REGIDI,Awesome,"Certified Buyer, Rajam",3.0,0.0,May 2017,No one better shuttles in the market.good quality and reasonable price.READ MORE,5.0,,,,,,,,,,,1,one better shuttle marketgood quality reasonable price
Madhu Mohan,Did not meet expectations,"Certified Buyer, Medak",4.0,1.0,Mar 2019,low qualityREAD MORE,1.0,,,,,,,,,,,0,low quality
Hemendra  Singh Thakur,Really Nice,"Certified Buyer, Navi Mumbai",8.0,3.0,Nov 2018,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4.0,,,,,,,,,,,1,superb quality best price thanks flipkart
Venkatesh Yerra,Utterly Disappointed,"Certified Buyer, Hyderabad",4.0,1.0,Aug 2018,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1.0,,,,,,,,,,,0,second quality shuttle dont buy almost torn shaped worst experience go buy shop cost around
Ashu Tosh,Really Nice,"Certified Buyer, Mysuru",5.0,1.0,Dec 2018,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4.0,,,,,,,,,,,1,dont think genuine co checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference
Flipkart Customer,Not recommended at all,"Certified Buyer, Mumbai",2.0,0.0,,Very bad quality this timeREAD MORE,1.0,,,,,,,,,,,0,bad quality time
Flipkart Customer,Absolute rubbish!,Certified Buyer,1.0,0.0,Oct 2022,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1.0,,,,,,,,,,,0,ive received duplicate n cheapest ball kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis
Prashanth Nagendra,Horrible,"Certified Buyer, Bangalore",1.0,0.0,Sep 2022,"Quality is not good, rejected qualityREAD MORE",1.0,,,,,,,,,,,0,quality good rejected quality
Mohit,Mind-blowing purchase,"Certified Buyer, Pathankot",1.0,0.0,Nov 2021,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5.0,,,,,,,,,,,1,green cap shuttle good indoor well outdoor play though slow speed durable thanks great deal
Sajin Raj,Terrific purchase,"Certified Buyer, Chennai",0.0,0.0,Oct 2021,Really Nice productQuick delivery Thanks filpkartREAD MORE,5.0,,,,,,,,,,,1,really nice productquick delivery thanks filpkart
Flipkart Customer,Awesome,"Certified Buyer, Katol",2.0,0.0,Aug 2021,Very nice shuttleREAD MORE,5.0,,,,,,,,,,,1,nice shuttle
Flipkart Customer,Don't waste your money,"Certified Buyer, Haldwani",0.0,0.0,Jun 2021,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1.0,,,,,,,,,,,0,horrible producteach shuttle didnt last even single dayextremely poor qualitypathetic
Razi Sadath,Worst experience ever!,"Certified Buyer, Tanalur",0.0,0.0,Jun 2021,Quality very low. Not orginalREAD MORE,1.0,,,,,,,,,,,0,quality low orginal
Mogan M,Unsatisfactory,"Certified Buyer, Bodinayakanur",0.0,0.0,Jun 2021,WorstREAD MORE,1.0,,,,,,,,,,,0,worst
Rahul Jaisinghani,Very poor,"Certified Buyer, Sagar",0.0,0.0,Jun 2021,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1.0,,,,,,,,,,,0,difference online quality market quality local market product far better online product
Flipkart Customer,Worst experience ever!,"Certified Buyer, Agra",0.0,0.0,Jun 2021,Dont but it.... worst productREAD MORE,1.0,,,,,,,,,,,0,dont worst product
SANTOSH SANTOSH,Very poor,"Certified Buyer, Uttara Kannada District",0.0,0.0,Jun 2021,Low quality very bad quality 😡READ MORE,1.0,,,,,,,,,,,0,low quality bad quality
Tejas Dukhande,Utterly Disappointed,"Certified Buyer, Mumbai",0.0,0.0,May 2021,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1.0,,,,,,,,,,,0,product original cork used come within day use please dont buy shuttle original rather buy shop shop rate
Barath T,Worthless,"Certified Buyer, Gangaikondan",0.0,0.0,May 2021,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1.0,,,,,,,,,,,0,quality good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also back
Venkat  Kolishetti ,Absolute rubbish!,"Certified Buyer, Hyderabad",0.0,0.0,May 2021,Not genuine productREAD MORE,1.0,,,,,,,,,,,0,genuine product
Akhil Aki,Waste of money!,"Certified Buyer, Nagireddipalle",0.0,0.0,May 2021,Waste productREAD MORE,1.0,,,,,,,,,,,0,waste product
Md Nezam,Absolute rubbish!,"Certified Buyer, Islampur",0.0,0.0,May 2021,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1.0,,,,,,,,,,,0,used shuttle item quality slow disappointed time
Damodar Naidu,Waste of money!,"Certified Buyer, Chittoor District",0.0,0.0,May 2021,Very High PriceREAD MORE,1.0,,,,,,,,,,,0,high price
Manju Vijay,Waste of money!,"Certified Buyer, Hassan District",0.0,0.0,Apr 2021,"Bad bad , compare to ah year back coming mavis 350READ MORE",1.0,,,,,,,,,,,0,bad bad compare ah year back coming mavis
Sudesh Pareek,Just wow!,"Certified Buyer, Kekri",2.0,0.0,Apr 2021,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5.0,,,,,,,,,,,1,yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily r last year
Prabhat Sehgal,Worst experience ever!,"Certified Buyer, Shivpuri",0.0,0.0,Apr 2021,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1.0,,,,,,,,,,,0,bad product quality used shuttle day totally wastage money copied product
Suraj Singh,Very poor,"Certified Buyer, Bengaluru",0.0,0.0,Apr 2021,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1.0,,,,,,,,,,,0,shuttle heavier specification felt like playing cheap rip original mavis
Laxman  Chalamarad,Don't waste your money,"Certified Buyer, Koppal",0.0,0.0,Apr 2021,3rd class quality  I want Returns but time is overREAD MORE,1.0,,,,,,,,,,,0,rd class quality want return time
Abhilash H M,Very poor,"Certified Buyer, Bangalore",0.0,0.0,Apr 2021,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1.0,,,,,,,,,,,0,worst shuttle ever shuttle started spinning shot even come game
Flipkart Customer,Not recommended at all,"Certified Buyer, Chennai",0.0,0.0,Apr 2021,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1.0,,,,,,,,,,,0,certain cork damaged certain cork even came match
Sadique P,Absolute rubbish!,"Certified Buyer, Nilambur",0.0,0.0,Apr 2021,Very bad quality 👎READ MORE,1.0,,,,,,,,,,,0,bad quality
Ganesh Reddy,Terrible product,"Certified Buyer, Nellore",1.0,0.0,Feb 2021,Not expected qualityREAD MORE,1.0,,,,,,,,,,,0,expected quality
Anurag Tiwari,Don't waste your money,"Certified Buyer, Varanasi",1.0,0.0,Feb 2021,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1.0,,,,,,,,,,,0,bad quality couldnt play hr shuttle
pankaj pathania,Waste of money!,"Certified Buyer, Pune",1.0,0.0,Jan 2021,not durable. very poor qualityREAD MORE,1.0,,,,,,,,,,,0,durable poor quality
Ravi Kumar,Good quality product,"Certified Buyer, Mysore",1.0,0.0,Jan 2021,but price is littel bit highREAD MORE,4.0,,,,,,,,,,,1,price littel bit high
Rajneesh  babre,Terrific purchase,"Certified Buyer, Longowal",0.0,0.0,Sep 2020,GoodREAD MORE,5.0,,,,,,,,,,,1,good
Flipkart Customer,Perfect product!,"Certified Buyer, Thrissur District",0.0,0.0,Jul 2020,not the required one.READ MORE,5.0,,,,,,,,,,,1,required one
Flipkart Customer,Not recommended at all,"Certified Buyer, Thiruverumbur",2.0,0.0,Jul 2020,This product is not original.please avoid online purchase.READ MORE,1.0,,,,,,,,,,,0,product originalplease avoid online purchase
Satish Gowda,Worthless,"Certified Buyer, Bangalore",1.0,0.0,Jul 2020,One shuttle was damaged and vobling..let me know what to doREAD MORE,1.0,,,,,,,,,,,0,one shuttle damaged voblinglet know
Sanadid Sarwar,Good choice,"Certified Buyer, Barauni",0.0,0.0,Mar 2020,Good quality productREAD MORE,4.0,,,,,,,,,,,1,good quality product
Rudra Pratap Singh,Terrific purchase,"Certified Buyer, Jhansi",0.0,0.0,Dec 2019,Good shuttle and  classic productREAD MORE,5.0,,,,,,,,,,,1,good shuttle classic product
Flipkart Customer,Don't waste your money,"Certified Buyer, Garhwal District",2.0,0.0,Sep 2019,got defective piecesREAD MORE,1.0,,,,,,,,,,,0,got defective piece
Surendra Kumar  Bhakta,Horrible,"Certified Buyer, Jsw Steel Plant Township",1.0,0.0,Jun 2019,"bad packing, unsatisfiedREAD MORE",1.0,,,,,,,,,,,0,bad packing unsatisfied
Deepak Singh,Awesome,"Certified Buyer, Gwalior",1.0,0.0,Apr 2019,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5.0,,,,,,,,,,,1,pro quality product yonexit original shuttle run long prompt delivery flipkart shuttle durableconsnone
Flipkart Customer,Super!,"Certified Buyer, Pathanamthitta District",2.0,0.0,Apr 2019,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5.0,,,,,,,,,,,1,good quality nice product thanks fpr fast delivery
Rishi prakash,Brilliant,"Certified Buyer, Baramati",2.0,0.0,Feb 2019,Nice cockeREAD MORE,5.0,,,,,,,,,,,1,nice cocke
Deepak Sisodiya,Just wow!,"Certified Buyer, Mumbai",2.0,0.0,Feb 2019,Good qualityREAD MORE,5.0,,,,,,,,,,,1,good quality
Rajdip Bhadra Chaudhuri,Duplicate product sold by RetailNet.,"Certified Buyer, Bhubaneswar",2.0,0.0,Jan 2019,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1.0,,,,,,,,,,,0,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicate
Arsh Azad,Really Nice,"Certified Buyer, Godda",2.0,0.0,Jan 2019,it's awsm 😎READ MORE,4.0,,,,,,,,,,,1,awsm
thlamuana ngamlai,Best in the market!,"Certified Buyer, Haflong",2.0,0.0,Dec 2018,reasonable priceREAD MORE,5.0,,,,,,,,,,,1,reasonable price
Flipkart Customer,Super!,"Certified Buyer, Hyderabad",2.0,0.0,May 2018,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5.0,,,,,,,,,,,1,excellent product original product received fast delivery second tough go
MOHAMED SALAHUDEEN,Just wow!,"Certified Buyer, Tiruchirappalli",2.0,2.0,Sep 2017,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5.0,,,,,,,,,,,1,one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked
Flipkart Customer,Delightful,"Certified Buyer, Bally",1.0,1.0,Jan 2018,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4.0,,,,,,,,,,,1,good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green cap
Atul Jain,Good for starters but not the best.,"Certified Buyer, Sagar",1.0,1.0,Jan 2018,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4.0,,,,,,,,,,,1,mavis quite durable really good starter recommend mavis best practice session
Daya Shanker Prasad,Wonderful,"Certified Buyer, Bangalore",1.0,1.0,Dec 2017,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4.0,,,,,,,,,,,1,received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last year
Nitin Mishra,Simply awesome,"Certified Buyer, Bengaluru",1.0,1.0,Oct 2017,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5.0,,,,,,,,,,,1,good nicely packed everyshuttle nice insude perfect flight
vinay singh,Worth every penny,"Certified Buyer, Godda",8.0,5.0,Apr 2018,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5.0,,,,,,,,,,,1,got product earlier expected r th april sale box properly sealed feb packingimport date sure mrp way cheaper market price r per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal
Kinjal Mukhopadhyay,Mind-blowing purchase,"Certified Buyer, Rishra",6.0,2.0,Jan 2019,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5.0,,,,,,,,,,,1,best choice people want practice indoor outdoor badminton get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor due
Sivaraj Balajee Thirunavukkarasu,Wonderful,"Certified Buyer, Chennai",0.0,0.0,May 2018,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4.0,,,,,,,,,,,1,long time got entire box genuine shuttle dynamic pricing strategy big everyday price cant go otherwise would happy buy
Tob Jeet,Delightful,"Certified Buyer, Papum Pare District",0.0,0.0,May 2018,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4.0,,,,,,,,,,,1,good product n durable good enough speed slows little mid air
Flipkart Customer,Brand new and Genuine,"Certified Buyer, Kannur",0.0,0.0,Apr 2018,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4.0,,,,,,,,,,,1,shuttle imported february bought march last serial number revealed scratching sticker show item genuine start play yet item look good sturdy got think worth price also happy get item delivered quickly
Tarun kumar Pal,Must buy!,"Certified Buyer, New Delhi",0.0,0.0,Feb 2018,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5.0,,,,,,,,,,,1,best shuttlecock life far better li ning shuttle price range purchased r sale flight also better shuttlecock
Flipkart Customer,Nice product,"Certified Buyer, Naharlagun",0.0,2.0,Sep 2017,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4.0,,,,,,,,,,,1,good n nice balanced shuttle thanks retailnet n flipkart hope wel get convincing rate lowered one
Flipkart Customer,Simply awesome,"Certified Buyer, Bengaluru",2.0,0.0,Jan 2022,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5.0,,,,,,,,,,,1,shuttle best one excellent price doesnt matter
Vinayakam  Nagaraju,Hated it!,"Certified Buyer, Coimbatore",3.0,1.0,Dec 2021,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1.0,,,,,,,,,,,0,quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork box sellersthat cork box come day playing box stay day understand delicate cork box
krishnaa dev,Unsatisfactory,"Certified Buyer, Coimbatore District",1.0,1.0,Feb 2021,Cost is too high I hate the productREAD MORE,1.0,,,,,,,,,,,0,cost high hate product
Flipkart Customer,Utterly Disappointed,"Certified Buyer, Pune",1.0,1.0,Dec 2020,Very poor quality...inconsistent speed...poor flightREAD MORE,1.0,,,,,,,,,,,0,poor qualityinconsistent speedpoor flight
INDERJIT SINGH,Excellent,"Certified Buyer, Shahid Bhagat Singh Nagar District",3.0,0.0,Feb 2019,Yonex is always best in quality....READ MORE,5.0,,,,,,,,,,,1,yonex always best quality
Vijay Anand,Worthless,"Certified Buyer, Chennai",3.0,1.0,Jul 2018,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1.0,,,,,,,,,,,0,worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkart
Flipkart Customer,MAVIS 350,"Certified Buyer, Bhadrachalam",3.0,0.0,Apr 2019,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5.0,,,,,,,,,,,1,used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttle
Samson P Vanlalfela,Excellent,"Certified Buyer, Lunglei",4.0,1.0,Mar 2018,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5.0,,,,,,,,,,,1,im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied game
Chander Shekhar,Mind-blowing purchase,"Certified Buyer, New Delhi",4.0,2.0,May 2017,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5.0,,,,,,,,,,,1,amazing shuttlecockdurable best qualitygo
Ashis Parida,Just wow!,"Certified Buyer, Cuttack",4.0,2.0,Oct 2018,checked at Sunrisetnt.com . found genuineREAD MORE,5.0,,,,,,,,,,,1,checked sunrisetntcom found genuine
Flipkart Customer,Did not meet expectations,"Certified Buyer, Navi Mumbai",4.0,5.0,Jun 2021,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1.0,,,,,,,,,,,0,horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttle local quality buy flipkart
Swayan Roy,Not good,"Certified Buyer, Balurghat",2.0,2.0,Dec 2019,AverageREAD MORE,2.0,,,,,,,,,,,0,average
